country,title,year,genres,rate,picture
??,Edison Kinetoscopic Record of a Sneeze,1894,Documentary|??,5.4,https://m.media-amazon.com/images/M/MV5BNGQ5MjZjYzgtYjJhMC00NDIzLTk0NjgtNmRjZDc1ZGM5MmM5XkEyXkFqcGdeQXVyOTUzMjk0NDE@._V1_FMjpg_UX1000_.jpg
??,Souvenir Strip of the Edison Kinetoscope,1894,Documentary|??,5.3,https://m.media-amazon.com/images/M/MV5BMzFmYjJiNGItMzgxMC00YTRlLTgyMTUtOGIxOGE4MDRlZDZmXkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_FMjpg_UX1000_.jpg
??,The Boxing Cats (Prof. Welton's),1894,??|??|??,5.8,https://m.media-amazon.com/images/M/MV5BYTUwODRmYzMtMjRlYi00MjY0LWE5ODgtYjc1OTBmMTI2NTQxXkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_FMjpg_UX1000_.jpg
??,Sioux Ghost Dance,1894,??|Western,5.2,https://m.media-amazon.com/images/M/MV5BMWMyMDM1M2EtZmI0Ni00MGVlLTkzODEtZTFhMmViYTQ0YWE4XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_FMjpg_UX1000_.jpg
??,Hadj Cheriff,1894,??,5,https://m.media-amazon.com/images/M/MV5BNzczMTc3NWUtOWI2Mi00ZDAyLThkOWEtNzAwZmMzN2QzZTMyXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,Annie Oakley,1894,Documentary|??|Western,6.3,https://m.media-amazon.com/images/M/MV5BYTg5YjE2MTAtMTUwMy00YjExLThkNGEtZmRhZjMyYjljZTJiXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_FMjpg_UX1000_.jpg
??,Falling Cat,1894,??,5.7,https://m.media-amazon.com/images/M/MV5BZTk0NjY5YjctZDMzNi00MmI4LWI5NWQtMTMzY2FjMDkxNjZmXkEyXkFqcGdeQXVyMjYxMzY2NDk@._V1_FMjpg_UX1000_.jpg
??,Buffalo Dance,1894,Documentary|??|Western,5.4,https://m.media-amazon.com/images/M/MV5BODVmZTAyMGUtMGM2Mi00YTc1LWFlODMtNzAyZDY1MjY0ZDYxXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_FMjpg_UX1000_.jpg
??,The Barbershop,1894,Documentary|??,5.3,https://m.media-amazon.com/images/M/MV5BNGJjMWUyODAtYmFjZi00ZjUwLTgyYTgtNjg0MTYxNGFiN2VlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,"The Pickaninny Dance from the ""Passing Show""",1894,Documentary|??,4.4,https://m.media-amazon.com/images/M/MV5BZDc3MjQwMmYtYzkyNS00ZTBlLWFiNGUtOTc3NWZjMjNjZmM0XkEyXkFqcGdeQXVyMzAyNDIwNzY@._V1_FMjpg_UX1000_.jpg
??,Carmencita,1894,Documentary|??,5.7,https://m.media-amazon.com/images/M/MV5BZmUzOWFiNDAtNGRmZi00NTIxLWJiMTUtYzhkZGRlNzg1ZjFmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_FMjpg_UX1000_.jpg
??,"Luis Martinetti, Contortionist",1894,??,5.6,https://m.media-amazon.com/images/M/MV5BZTc3ODQzYTYtM2I2ZS00ZDNhLWE2NTgtOGQzNzc5NTJkNDJiXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,Leonard-Cushing Fight,1894,Documentary|??|Sport,5,https://m.media-amazon.com/images/M/MV5BYTZmMzlmYzMtNTlhOS00YmY4LTk4MzktZDI4YmZjY2RjMDg4XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,Imperial Japanese Dance,1894,??,5.1,https://m.media-amazon.com/images/M/MV5BNTMyMGQwZTQtMTYwMC00ODFkLTkzYjUtMWE3MzcyYzg4OWY0XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,The Hornbacker-Murphy Fight,1894,??|Sport,5,https://m.media-amazon.com/images/M/MV5BYzMzNTEyMWUtM2E3ZS00MTk1LTlkZWMtMjQzM2E5OGI4MjY5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,Band Drill,1894,??|??,4.3,https://m.media-amazon.com/images/M/MV5BODFlMzZkYjItMmEyNy00YjhjLWFkYWEtOGMwZjZmYTM2ZTAzXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,Glenroy Brothers (Comic Boxing),1894,Documentary|??|Sport,5.3,https://m.media-amazon.com/images/M/MV5BODY3ZTEwYWEtOWIwYi00ZTdhLTgzZDYtNDJjNjJhNjQ2MmE1XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,"Cock Fight, No. 2",1894,??,4,https://m.media-amazon.com/images/M/MV5BYTk0MGNhZTEtMWMwOC00NmMwLWE2NTYtOWI5NTQ1NjY2YzU4XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_FMjpg_UX1000_.jpg
??,"Glenroy Bros., No. 2",1894,??|??,5,https://m.media-amazon.com/images/M/MV5BOWE4NDliNjYtNDAyNS00ZTBhLTkwZGQtODBiNmNlZDUyNDAxXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,Fire Rescue Scene,1894,Drama|??,5.6,https://m.media-amazon.com/images/M/MV5BNzFhZjI5ZjItYTEwZS00ZTVjLWFmMGUtNGEzMjI5ZTg5NDdkXkEyXkFqcGdeQXVyNjc2NjkzNTg@._V1_FMjpg_UX1000_.jpg
??,Corbett and Courtney Before the Kinetograph,1894,??|Sport,5.4,https://m.media-amazon.com/images/M/MV5BODA4ZTI3NWYtNzAyYi00Yjc5LTk0NDUtZWIzNzQzYzdkODgyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_FMjpg_UX1000_.jpg
??,Caicedo (with Pole),1894,??,6.1,https://m.media-amazon.com/images/M/MV5BZjQzZTA3OTUtYWFkYi00YzBhLWJmZTUtNDA2OTU3YmM3Y2M0XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,Tables Turned on the Gardener,1895,??|??,7.1,https://m.media-amazon.com/images/M/MV5BNGNjMDkzNDAtOGI1NS00MGIyLWFkZjgtYWNkYzhlZWYwMmIzXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_FMjpg_UX1000_.jpg
??,Employees Leaving the Lumi?re Factory,1895,Documentary|??,6.9,https://m.media-amazon.com/images/M/MV5BY2EwNzY0YmItOWM2MS00MmQyLWEzYmUtYmQ4ZDNlYjg1OGY0XkEyXkFqcGdeQXVyOTUzMjk0NDE@._V1_FMjpg_UX1000_.jpg
??,Wintergartenprogramm,1895,??,5.8,https://m.media-amazon.com/images/M/MV5BYWJhOGQyZjEtZTEwOC00NzBjLTg1NjgtYTY5OTBlMmRkZDY3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,Baby's Dinner,1895,Documentary|??,5.9,https://m.media-amazon.com/images/M/MV5BM2Q0ZDhkM2EtODFlOC00NzRiLWJhMmYtMmI0ZWQ0ZTdmMzBmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_FMjpg_UX1000_.jpg
??,Annabelle Serpentine Dance,1895,Documentary|??,6.5,https://m.media-amazon.com/images/M/MV5BYjdkMjg2NGQtYmRmYS00ZGQyLTk5MGQtMWQxZDdlY2U0MzZhXkEyXkFqcGdeQXVyNDExODQzNDA@._V1_FMjpg_UX1000_.jpg
??,"The Execution of Mary, Queen of Scots",1895,??|History,6.7,https://m.media-amazon.com/images/M/MV5BNWJmMDlmZWEtM2M5Yy00NDA2LThjYWItMTc4ZDZjYWQwY2E3XkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_FMjpg_UX1000_.jpg
??,Baignade en Mer,1895,Documentary|??,5.7,https://m.media-amazon.com/images/M/MV5BODBiN2QxZjktZmMwZi00NWY3LWI0NjktZmE5MzUwMzIyZDNjXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,Fishing for Goldfish,1895,Documentary|??,5.1,https://m.media-amazon.com/images/M/MV5BYTNkN2I5MGUtMWVmOS00OWE5LWE4ZDMtZjE1NjJiODJkNDc5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,Trick Riding,1895,Documentary|??|??,5.5,https://m.media-amazon.com/images/M/MV5BYTc0OTQ4NzgtZDE3Mi00M2IzLWE0MjMtMjg0MTM1NzU1OGY1XkEyXkFqcGdeQXVyODgzNDIwODA@._V1_FMjpg_UX1000_.jpg
??,The Photographical Congress Arrives in Lyon,1895,Documentary|??,5.7,https://m.media-amazon.com/images/M/MV5BYmU0ZGY2MWYtY2FiZi00MjM5LTkwMzQtMzBiM2Q3YjQ1YjQ2XkEyXkFqcGdeQXVyODgzNDIwODA@._V1_FMjpg_UX1000_.jpg
??,Les Forgerons,1895,Documentary|??,5.1,https://m.media-amazon.com/images/M/MV5BNTU3ZjQ4ZmUtNDlmOC00YWM1LTg0MDUtMTBkOGYwMGYwZjdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,Cordeliers' Square in Lyon,1895,Documentary|??,5.6,https://m.media-amazon.com/images/M/MV5BYzc4ZTA4NmItMDdkZS00NWZjLWFjYjQtZjMzYjk5YjVhMTdkXkEyXkFqcGdeQXVyODgzNDIwODA@._V1_FMjpg_UX1000_.jpg
??,Boat Leaving the Port,1895,Documentary|??,5.9,https://m.media-amazon.com/images/M/MV5BOTU5YzI1MWEtMmZmZS00N2U2LThiODktODM1NDQwZTZkNDE1XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,The Mechanical Butcher,1895,??|??|Sci-Fi,5.9,https://m.media-amazon.com/images/M/MV5BYjM1NDg1ODEtM2IwOS00MWU5LWE5MTgtOGU0MWZiOTdhODM0XkEyXkFqcGdeQXVyODgzNDIwODA@._V1_FMjpg_UX1000_.jpg
??,Kamarinskaja,1895,??,4.7,https://m.media-amazon.com/images/M/MV5BZDNhZmNhYmUtZDlmYi00M2RmLTkyNWUtYThkODc0NTNiNWM0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,The Arrival of a Train,1896,Documentary|??,7.4,https://m.media-amazon.com/images/M/MV5BZjE2MGVkMTAtMWIwYy00YzQ5LWE2YTAtMTU2NGJmNGNjY2IyXkEyXkFqcGdeQXVyNjMxMzM3NDI@._V1_FMjpg_UX1000_.jpg
??,"Arab Cortege, Geneva",1896,Documentary|??,4.8,https://m.media-amazon.com/images/M/MV5BMzg1NmQyYzMtNDNjYi00MjMwLWI1NjgtODQ5NGNhNzM1MTljXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_FMjpg_UX1000_.jpg
??,Panorama du grand Canal pris d'un bateau,1896,Documentary|??,6.3,https://m.media-amazon.com/images/M/MV5BZmQ3NDI2YWEtMjY0YS00MTFmLWIzZGMtZWY4NDYwMjdjNTMwXkEyXkFqcGdeQXVyMjM5NTI4Mzc@._V1_FMjpg_UX1000_.jpg
??,Demolition of a Wall,1896,Documentary|??,6.4,https://m.media-amazon.com/images/M/MV5BNGViNzJkZWYtYzYxNi00YTU3LTg4MWMtOGJmM2RmMGY2ZTU1XkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_FMjpg_UX1000_.jpg
??,Mounted Police Charge,1896,Documentary|??,4.7,https://m.media-amazon.com/images/M/MV5BMTM5MjU4OGItNTQwMy00MmY5LWFlNDItYjYzMzYyNzdmYjgyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_FMjpg_UX1000_.jpg
??,Sandow,1896,??|Sport,5.4,https://m.media-amazon.com/images/M/MV5BNDhkYjhiOTAtYzYwYy00ZGY4LWEzNzQtMzQwYmM3MmFlMTE1XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_FMjpg_UX1000_.jpg
??,A Morning Bath,1896,Documentary|??|??,4.5,https://m.media-amazon.com/images/M/MV5BZDE2MmMxMzctODk0NS00NTZlLThhN2ItOTc5OWUyNzMyODAyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_FMjpg_UX1000_.jpg
??,Black Diamond Express,1896,Documentary|??,5.4,https://m.media-amazon.com/images/M/MV5BZjBhOTIwZTUtOWNjNS00ZTNlLTgzMTItNTg4MjBjY2ZiN2ExXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_FMjpg_UX1000_.jpg
??,The Haunted Castle,1896,??|Horror,6.7,https://m.media-amazon.com/images/M/MV5BY2RkZDBmNjEtYzdhMC00ODg4LWEwN2EtMmJlMTM4MGQwMGQxXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_FMjpg_UX1000_.jpg
??,Playing Cards,1896,??|Biography,5.1,https://m.media-amazon.com/images/M/MV5BODQ0NGEyMjgtMDdhMC00ZTc3LWIyMjktNTQyYzFiMmY0OGRhXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_FMjpg_UX1000_.jpg
??,A Terrible Night,1896,??|??|Horror,5.8,https://m.media-amazon.com/images/M/MV5BMzQxNDllZmYtZDE4MC00YTQ1LThiZmItNTIwNTA1NDdjOTVkXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_FMjpg_UX1000_.jpg
??,The Vanishing Lady,1896,??|Horror,6.3,https://m.media-amazon.com/images/M/MV5BNGRhNTcxMDMtYTMyMi00ZTIxLThiOWUtMTgwZDA2Njk4YTFjXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_FMjpg_UX1000_.jpg
??,A Nightmare,1896,??|Horror,6.5,https://m.media-amazon.com/images/M/MV5BYWRkYjBhOWEtMTNiYS00YTVjLTkxMDYtYjgzZWNiYjQ1YjkxXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_FMjpg_UX1000_.jpg
??,"Arroseur et arros?, [II]",1896,??|??,6.2,https://m.media-amazon.com/images/M/MV5BOTk2ZTY4MzUtZGM2MC00NzdhLTljNTQtNmUzMWViM2JmNzQ5XkEyXkFqcGdeQXVyODgzNDIwODA@._V1_FMjpg_UX1000_.jpg
??,The Cabbage Fairy,1896,??|Family|Fantasy,5.4,https://m.media-amazon.com/images/M/MV5BMGFjOTBhN2MtNDYyZS00MjlmLTg1MTUtZjYyMDRmODY1ODA3XkEyXkFqcGdeQXVyNzUyMjQ3NTQ@._V1_FMjpg_UX1000_.jpg
??,Lancement d'un navire,1896,??|Documentary,6.2,https://m.media-amazon.com/images/M/MV5BYWNmODcxN2ItNTdkMS00NzNjLWFhMDYtMzc4YzQ1Y2VkN2ZiXkEyXkFqcGdeQXVyMjA0NzcwMjI@._V1_FMjpg_UX1000_.jpg
??,Arriv?e d'un train ? Perrache,1896,Documentary|??,5.7,https://m.media-amazon.com/images/M/MV5BMTNiOTBhMjQtYWQzZS00MGZjLWI5NmMtMDZmYmI1YmI3NTUyL2ltYWdlXkEyXkFqcGdeQXVyMDM0MzU2NA@@._V1_FMjpg_UX1000_.jpg
??,Repas des chats,1896,Documentary|??,5.3,https://m.media-amazon.com/images/G/01/imdb/images/social/imdb_logo.png
??,Balan?oires,1896,Documentary|??,5.1,https://m.media-amazon.com/images/M/MV5BMzc3NTNmNjctZWQ5Yi00ZTEyLTk1ODQtMjU2NmVhMmU0MTAyL2ltYWdlXkEyXkFqcGdeQXVyMDM0MzU2NA@@._V1_FMjpg_UX1000_.jpg
??,Champs-?lys?es,1896,Documentary|??,5.3,https://m.media-amazon.com/images/M/MV5BNTY1NzAwNmMtODVhMS00ZDIxLTg1MjEtMTc5YTExYmE4OTliXkEyXkFqcGdeQXVyODgzNDIwODA@._V1_FMjpg_UX1000_.jpg
??,Saut ? la couvert,1896,??,5.6,https://m.media-amazon.com/images/M/MV5BMzc4M2JjODEtOGI0My00MWJiLWI2NDAtOWRlMTg4Mjk0ZGNkXkEyXkFqcGdeQXVyODgzNDIwODA@._V1_FMjpg_UX1000_.jpg
??,Sousse: March? aux charbons (avec chameaux),1896,Documentary|??,4.7,https://m.media-amazon.com/images/M/MV5BMGUyMDJjODktM2I0My00OTE1LWFmNWMtYWE2MzI4MjQ3ZDc4XkEyXkFqcGdeQXVyMjM5NTI4Mzc@._V1_FMjpg_UX1000_.jpg
??,Serpentine Dance: Lo?e Fuller,1897,??,5.9,https://m.media-amazon.com/images/G/01/imdb/images/social/imdb_logo.png
??,"Fifth Avenue, New York",1897,Documentary|??,5.3,https://m.media-amazon.com/images/M/MV5BNzFkZWRkM2YtOGVjNi00YzRmLTg5ODMtMGRmOTIzZWEyNjI5XkEyXkFqcGdeQXVyMTU1ODYxMDEw._V1_FMjpg_UX1000_.jpg
??,Mr. Edison at Work in His Chemical Laboratory,1897,Documentary|??,5.1,https://m.media-amazon.com/images/M/MV5BOWRmMWM5MDEtNWYxZC00OGViLTg4ZDEtNDU3OTgzNTUyOTE5XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_FMjpg_UX1000_.jpg
??,The Haunted Castle,1897,??|Horror,6.3,https://m.media-amazon.com/images/M/MV5BOTE3NmQyOWQtNzE3MC00YmZmLTk3YTQtOWI5OTEwYTI5ZjE3XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_FMjpg_UX1000_.jpg
??,The Surrender of Tournavos,1897,??|War,5.4,https://m.media-amazon.com/images/M/MV5BNDQ0OWQ2ODUtZDU2Mi00ZTA0LTk1NmEtNjg1OWJiMzUxZjY2XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_FMjpg_UX1000_.jpg
??,Between Calais and Dover,1897,??|??,5.4,https://m.media-amazon.com/images/M/MV5BMWJjMDAyZDQtMjFiZi00YTQ2LWIwOTctNjc2MTU0ZmEwOGMyXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_FMjpg_UX1000_.jpg
??,The Bewitched Inn,1897,??|??|Horror,6.4,https://m.media-amazon.com/images/M/MV5BYjIyNTA4NjgtMTczZC00OWE3LTkzNzMtNmZjOTljNDgwNjc3XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_FMjpg_UX1000_.jpg
??,After the Ball,1897,??,5.3,https://m.media-amazon.com/images/M/MV5BMDAxNTVkZDMtODgzZC00ZmZjLWJhMTktNjZkNGUzMjBjNjlmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_FMjpg_UX1000_.jpg
??,Bataille de boules de neige,1897,Documentary|??|??,6.7,https://m.media-amazon.com/images/M/MV5BN2FiMDZmNTUtNGMxMC00ZDQ2LTg5YjktMGNkNDA2NGIzOWFlXkEyXkFqcGdeQXVyODgzNDIwODA@._V1_FMjpg_UX1000_.jpg
??,Colleurs d'affiches,1897,??|??,5.1,https://m.media-amazon.com/images/M/MV5BYTY5MDQyOTAtODRhZS00YTFkLTg4OGQtY2Q3YmRhMWVmMGVlXkEyXkFqcGdeQXVyMjM5NTI4Mzc@._V1_FMjpg_UX1000_.jpg
??,Football,1897,Documentary|??|Sport,5.4,https://m.media-amazon.com/images/M/MV5BNzM4YTljMWUtMzczZC00MjdiLThkODEtOTM0NDlmMjBmM2M4XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,Seminary Girls,1897,??|??,5.6,https://m.media-amazon.com/images/M/MV5BODNhOTQzZGMtNDE1ZS00NjNhLWJmMzYtNDc2ZTkwMTBmMWRkXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_FMjpg_UX1000_.jpg
??,L'arroseur arros?,1897,??|??,7.1,https://m.media-amazon.com/images/M/MV5BNGNjMDkzNDAtOGI1NS00MGIyLWFkZjgtYWNkYzhlZWYwMmIzXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_FMjpg_UX1000_.jpg
??,Four Heads Are Better Than One (Un homme de t?te),1898,??|??,7.5,https://m.media-amazon.com/images/M/MV5BNzNhNjNhOWQtMmU4MC00MjUxLWI1MTgtNDMyYjY2NmVlMjY1XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_FMjpg_UX1000_.jpg
??,"Ella Lola, a la Trilby",1898,??,4.5,https://m.media-amazon.com/images/M/MV5BZDgzZWZlNWQtNTE5YS00ODRmLTkyYTAtOGIyZDAzNGYwYmVhXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_FMjpg_UX1000_.jpg
??,Santa Claus,1898,??|Family|Fantasy,6.4,https://m.media-amazon.com/images/M/MV5BMTcyZGQ5NTctNGZkMy00ZmQ1LTg0MGEtMDgwNDY3ZGUwOTdlXkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_FMjpg_UX1000_.jpg
??,Old Man Drinking a Glass of Beer,1898,??|??,5.2,https://m.media-amazon.com/images/M/MV5BZmM0NDdjNWYtYTUxMy00NTVlLWI0NzQtODE2OTEwOWQ2YWJjXkEyXkFqcGdeQXVyMTEzNzczMA@@._V1_FMjpg_UX1000_.jpg
